id,position,label,description,start_date,term,constituency,election,end_date,replaces,replaced_by
Q16214077,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16214078,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mbeya Urban,"Tanzanian general election, 2015",,,
Q16214101,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Songwe,"Tanzanian general election, 2015",,,
Q16214108,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Chemba,"Tanzanian general election, 2015",,,
Q16214167,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16214437,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kikwajuni,"Tanzanian general election, 2015",,,
Q16214447,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Sumbawanga Urban,"Tanzanian general election, 2015",,,
Q16214458,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kisarawe,"Tanzanian general election, 2015",,,
Q16214535,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Wawi,"Tanzanian general election, 2015",,,
Q16215031,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16215452,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16215848,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q16215870,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16215889,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Arusha Urban,"Tanzanian general election, 2015",,,
Q16215979,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16217470,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kawe,"Tanzanian general election, 2015",,,
Q16217695,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16218586,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Chalinze,"Tanzanian general election, 2015",,,
Q16218849,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kishapu,"Tanzanian general election, 2015",,,
Q16221074,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16221420,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16221446,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kalenga,"Tanzanian general election, 2015",,,
Q16221813,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16221829,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Donge,"Tanzanian general election, 2015",,,
Q16223448,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Momba,"Tanzanian general election, 2015",,,
Q16231449,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16728905,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16731918,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16732202,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16732704,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kibamba,"Tanzanian general election, 2015",,,
Q16732939,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16733054,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16733084,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Muleba North,"Tanzanian general election, 2015",,,
Q16733187,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Arumeru East,"Tanzanian general election, 2015",,,
Q16733431,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Mtama,"Tanzanian general election, 2015",,,
Q16733506,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Buhingwe,"Tanzanian general election, 2015",,,
Q16733513,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16733751,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16864829,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16864891,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16866580,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16873094,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16873347,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16875220,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q16875234,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q19561408,Q17599130,Member of the National Assembly of Tanzania,"",2015-11-05,11th Parliament of Tanzania,,,,,
Q19586123,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q20604882,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q20604892,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q20604937,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Nyasa,"Tanzanian general election, 2015",,,
Q20604960,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q20605525,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kasulu Urban,"Tanzanian general election, 2015",,,
Q20725579,Q17599130,Member of the National Assembly of Tanzania,"","",,,,,,
Q21064276,Q17599130,Member of the National Assembly of Tanzania,"",2017,11th Parliament of Tanzania,,,,,
Q21170429,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,,,,
Q22279305,Q17599130,Member of the National Assembly of Tanzania,"",2016,11th Parliament of Tanzania,,,,,
Q22279375,Q17599130,Member of the National Assembly of Tanzania,"",2016,11th Parliament of Tanzania,,,,,
Q23415088,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Segerea,"Tanzanian general election, 2015",,,
Q24034414,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
Q24572780,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tarime Rural,"Tanzanian general election, 2015",,,
Q27448088,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Same East,"Tanzanian general election, 2015",,,
Q27469212,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Ilemela,"Tanzanian general election, 2015",,,
Q27487938,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Tarime Urban,"Tanzanian general election, 2015",,,
Q27656841,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,Kondoa,"Tanzanian general election, 2015",,,
Q27734881,Q17599130,Member of the National Assembly of Tanzania,"",2015-10-29,11th Parliament of Tanzania,,"Tanzanian general election, 2015",,,
