name,area,image,party,term,end_date
Osama Faraj Alsh'aafi,Tripoli: Ain Zara,https://www.temehu.com/pictures1/hor11/542-ainzara.jpg,Independent,1,
Rabha Abdulsalam Alfurjani,Qasr Libya,https://www.temehu.com/pictures2/hor12/1452-qasrlibya2.jpg,Independent,1,
Rabi'aa Abdulrahman Aboras,Tripoli: Hay Alandulus,https://www.temehu.com/pictures1/hor11/545-hay-andulus.jpg,Independent,1,
Rabi'aa Alsadeq Alfaqih,Tripoli: Souq Aljum'aa,https://www.temehu.com/pictures3/hor13/1791-souq-jumaa.jpg,Independent,1,
Rahma Abubaker Ali Adam,Murzuq,https://www.temehu.com/pictures1/hor11/449-murzuq.jpg,Independent,1,
Ramdan Muhammed Shembesh,Benghazi,https://www.temehu.com/pictures2/hor12/1404-benghazi.jpg,Independent,1,
S'aid Khalid Esbaqa,Tukra,https://www.temehu.com/pictures2/hor12/165-tukra.jpg,Independent,1,
Sa'ad Abdulqader Albadri,Abyar,https://www.temehu.com/pictures2/hor12/578-abyar.jpg,Independent,1,
Sa'ad Almeryami Almeryami,Tripoli: Abu Salim,https://www.temehu.com/pictures3/hor13/28-abu-salim.jpg,Independent,1,
Sa'ad Muhammed Aljazwi,Benghazi,https://www.temehu.com/pictures2/hor12/1704-benghaz.jpg,Independent,1,
Sabah Jum'aa Faraj,Tarhunah,https://www.temehu.com/pictures1/hor11/1026-tarhouna.jpg,Independent,1,
Salah Ali Alshibani Zoubik,Gharyan,https://www.temehu.com/pictures2/hor12/1681-gheryan.jpg,Independent,1,
Salah Alsahbi Ali Balhouq,Rujban,https://www.temehu.com/pictures2/hor12/1563-rujban.jpg,Independent,1,
Saleh Abdulkarim Efhima,Sidra,https://www.temehu.com/pictures1/hor11/345-sidra.jpg,Independent,1,
Saleh Hashem Altha'a,Tobruk,https://www.temehu.com/pictures1/hor11/5-tobruk.jpg,Independent,1,
Saleh Hema Bekdah,Ghat,https://www.temehu.com/pictures1/hor11/135-ghat.jpg,Independent,1,
Saleh Qelma Yesko Derkoi,Gatroun,https://www.temehu.com/pictures2/hor12/744-gatroun.jpg,Independent,1,
Salem Masoud Ahmed Qnidi,Zawia,https://www.temehu.com/pictures3/hor13/216-zawiyah.jpg,Independent,1,
Salem Masoud Qanan,Nalut,https://www.temehu.com/pictures3/hor13/836-nalut.jpg,Independent,1,
Sarah Amer Abduljalil Alsweih ,Janzur,https://www.temehu.com/pictures3/hor13/870-janzur.jpg,Independent,1,
Siham Salem Serqiwah,Benghazi,https://www.temehu.com/pictures2/hor12/635-benghazi.jpg,Independent,1,
So'aad Abdullah Alsheli,Tripoli: Abu Salim,https://www.temehu.com/pictures1/hor11/1180-abu-salim.jpg,Independent,1,
Suleiman Khathab 'Awed,Merj,https://www.temehu.com/pictures2/hor12/825-merj.jpg,Independent,1,
Suleiman Omar Alharai,Gharyan,https://www.temehu.com/pictures2/hor12/1480-gheryan2.jpg,Independent,1,
Sulieman Muhammed Alfaqih,Mesratha,https://www.temehu.com/pictures2/hor12/sliman-alfaqih.jpg,Independent,1,
Sulthna Masoud Abdulrahim,Cyrene + Byda + Merj,https://www.temehu.com/pictures3/hor13/93-cyrene-bayda4.jpg,Independent,1,
Tareq Abdullah Alashter,Tripoli: Abu Salim,https://www.temehu.com/pictures3/hor13/1769-abu-salim.jpg,Independent,1,
Tareq Aboubaker Abouhisa,Yefren,https://www.temehu.com/pictures2/hor12/1479-yefren.jpg,Independent,1,
Thariq Saqer Aljaroushi,Benghazi,https://www.temehu.com/pictures1/hor11/52-benghazi.jpg,Independent,1,
Younis Omar Fennoush,Benghazi,https://www.temehu.com/pictures2/hor12/1693-benghazi.jpg,Independent,1,
Yousef Abdulsalam Alferjani,Khoms Coast,https://www.temehu.com/pictures3/hor13/843-khoms-coast.jpg,Independent,1,
Yousef Kalikouri Qati Sidi,Sabha,https://www.temehu.com/pictures3/hor13/888-sabha.jpg,Independent,1,
Yousef Muhammed Alfakhri,Suluq,https://www.temehu.com/pictures3/hor13/9-slouq.jpg,Independent,1,
Yousif Ibrahim Hamed,Tukra,https://www.temehu.com/pictures3/hor13/855-tukra.jpg,Independent,1,
Zayed Hadiyah Aboubaker,Sirte,https://www.temehu.com/pictures3/hor13/926-sirte.jpg,Independent,1,
Ziyad Saleh Dghim,Benghazi,https://www.temehu.com/pictures3/hor13/863-benghazi.jpg,Independent,1,
