name,image,term,area,party
Alhassan kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALHASSAN%20KAMARA%20CONST.JPG,2-4,"Western Urban, Western Area",APC
Alie Kaloko,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALIE%20KALOKOH%20CONST%20102%20WESTERN%20AREA%20URBAN%20ID%20102.JPG,2-4,"Western Urban, Western Area",APC
Alieu Badara K. Munu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALIEU%20BADDARA%20.K.%20MUNU%20CONST%2038%20KAMBIA%20DISTRICT%20ID%2038.JPG,2-4,"Kambia District, Northern region",APC
Alimamy G. Kargbo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALIMAMY%20G.%20KARGBO%20CONST%20099%20WESTERN.JPG,2-4,"Western Urban, Western Area",APC
Alusine Kanneh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALUSINE%20KANNEH%20CONST%2019%20KENEMA.JPG,2-4,"Kenema District, Eastern Region",SLPP
Alusine Marrah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ALUSINE%20MARAH%20CONST%20044%20KOINADUGU.JPG,2-4,"Koinadugu District, Northern Region",APC
Amadu Fofana,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20AMADU%20FOFANA%20CONST%20109%20WEASTREN%20UNBAN%20AREA.JPG,2-4,"Western Urban, Western Area",APC
Amadu Kanu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20AMAU%20MOHAMED%20KANU%20CONST%2086%20MOYAMBA%20DISTRICT%20ID%2086.JPG,2-4,"Moyamba District, Southern Region",APC
Andrew Victor Lungay,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20ANDREW%20VICTOR%20LUNGAY%20CONST%2012%20KENEMA%20DISTRICT%20ID%2012.JPG,2-4,"Kenema District, Eastern Region",SLPP
Ansumana Jaia Kaikai,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20ANSUMANA%20%20JAIA%20KAIKAI%20DEPUTY%20MINORITY%20LEADER%20%20CONST%2087%20PUJEHUN%20DISTRICT%20ID%2087.JPG,2-4,"Pujehun District, Southern Region",SLPP
Augustine B. Torto,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20AUGUSTINE%20BOCKARIE%20TORTO%20CONST%2025.JPG,2-4,"Kono District, Eastern Region",APC
Bai J. Kaloko,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20BAI%20J.%20KALAKO%20CONST%20064%20TONKOLILI%20DISTRICT.JPG,2-4,"Tonkolili District, Northern Region",APC
Bashiru Silikie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20BASHIRU%20SILIKIE%20CONST%20072%20BO%20DISTRICT.JPG,2-4,"Bo District, Southern",SLPP
Benneh Bangura,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20BENNEH%20BANGURA%20CONST%2055%20PORT%20LOKO%20DISTRICT%20ID%2055.JPG,2-4,"Portloko District, NORTHERN",APC
Bliss Osho Williams,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20BLISS%20EUGENE%20OSHO-WILLIAMS%20CONST%20107%20WETERN%20AREA%20URBAN%20ID%20107.JPG,2-4,"Western Urban, Western Area",APC
Brima Conteh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20BRIMA%20CONTEH.CONST%20O79%20BONTHE.JPG,2-4,"Bonthe District, Southern Region",SLPP
Chernor R.M. Bah,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DEPUTY%20SPEAKER%20CHERNOR%20%20R.%20M.%20BAH%20CONST%20110%20WEASTERN%20AREA%20URBAN%20ID%20110.JPG,2-4,"Western Urban, Western Area",APC
Claude D.M Kamanda,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20CLAUDE%20D.M.%20KAMANDA%20MAJORITY%20WHIP%20%20CONST%2095%20WESTERN%20AREA%20RURAL%20ID%2095.JPG,2-4,"Western Rural, Western Area",APC
Dan Y. Sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DAN%20Y.%20SESAY%20CONST%20032%20BAMBALI%20DISTRICT.JPG,2-4,"Bombali District, Northern Region",APC
Daniel B. Koroma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DANIEL%20BRIMA%20KOROMA%20CONST%20046%20KOINADUGU.JPG,2-4,"Koinadugu District, Northern Region",APC
Dauda D. Fawundu,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DAUDA%20D.%20FAWUNDU%20CONST%2088%20PUJEHUN%20DISTRICT%20ID%2088.JPG,2-4,"Pujehun District, Southern Region",SLPP
Dauda J.B. Kallon,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DAUDA%20.J.B.%20KALLON%20CONST%2093%20WESTERN%20AREA%20RURAL%20ID%2093.JPG,2-4,"Western Rural, Western Area",APC
David Johnson,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DAVID%20JOHNSON%20CONST%20111%20WESTERN%20AREA%20URBAN%20ID%20111.JPG,2-4,"Western Urban, Western Area",APC
Dickson M. Rogers,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DICKSON%20M.%20ROGERS%20CONST%20089%20PUJEHUN%20DISTRICT.JPG,2-4,"Pujehun District, Southern Region",SLPP
Dr. Aiah Dabundeh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DR%20AIAH%20DABUNDEH%20CONST%2020%20KONO.JPG,2-4,"Kono District, Eastern Region",APC
Dr. Bernadette Lahai,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20DR%20BERNADETTE%20LAHAI%20MINORITY%20LEADER%20%20CONST%2013%20KENEMA%20DISTRICT%20ID%2013.JPG,2-4,"Kenema District, EASTERN",SLPP
Dr. Bu-Buakei Jabbi,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DR%20BUBUAKEI%20JABBI.JPG,2-4,"Kenema District, Eastern Region",SLPP
Dr. Foday I. Suma,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DR%20FODAY%20I.%20SUMA%20CONST%20040%20KAMBIA%20DISTRICT.JPG,2-4,"Kambia District, Northern Region",APC
Dr. Roland Foday Kargbo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DR%20ROLAND%20FODAY%20KARGBO%20CONST%20036%20BAMBALI%20DISTRICt.JPG,2-4,"Bombali District, Northern Region",APC
Dr. Thomas Mark Turay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20DR%20THOMAS%20MARK%20TURAY%20CONST%20030%20BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Edward S. Jengo,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20EDWARD%20S.%20JENGO%20CONST%2083%20MOYAMBA%20DISTRICT.JPG,2-4,"Moyamba District, Southern Region",SLPP
Emma J. Kowa,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/EMMA%20KOWA%20CONST%2076.JPG,2-4,"Bo District, Southern Region",SLPP
Fawudu Senesie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SENESIE%20FAWUDU%20CONST%2090%20PUJEHUN%20DISTRICT%20ID%2090.JPG,2-4,"Pujehun District, Southern Region",SLPP
Foday Rado Yokie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20FODAY%20RADO%20YOKIE%20CONST%20068%20BO%20DISTRICT.JPG,2-4,"Bo District, Nouthern Region",SLPP
Francis Amara Kaisamba,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20FRANCIS%20AMARA%20KAISAMBA%20CONST%2010%20KENEMA%20DISTRICT%20ID%2010.JPG,2-4,"Kenema District, Eastern Region",SLPP
Francis Amara Konuwa,http://www.parliament.gov.sl/dnn5/portals/0/Images/MPs/HON%20FRANCIS%20%20AMARA%20KONUMA%20CONST%2014%20KENEMA%20DISTRICT%20ID%2014.JPG,2-4,"Kenema District, EASTERN",SLPP
Frank Kposowa,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20FRANK%20KPOSOWA%20CONST%2071%20BO%20DISTRICT%20ID%2071.JPG,2-4,"Bo District, Southern Region",SLPP
Frederick S. Sourie,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20FREDERICK%20SANDY%20SOURIE%20CONST%20023%20KONO%20DISTRICT.JPG,2-4,"Kono District, Eastern Region",APC
Gladys Gbappy Brima,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20GLADYS%20GBEMOH%20GBAPPY%20BRIMA%20CONST%20082MOYAMBA%20DISTRICT.JPG,2-4,"Moyamba District, Southern Region",SLPP
Habib B. Munda,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20HABIB%20BAKARR%20MUNDA.JPG,2-4,"Kenema District, Eastern Region",SLPP
Hassan Abdul sesay,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20HASSAN%20ABDUL%20SESAY%20CONST%20059.JPG,2-4,"Tonkolili District, Northern Region",APC
Hassan B. Sheriff,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20SHERIFF%20.B.%20HASSAN%20CONST%2053%20PORT%20LOKO%20DISTRICT%20ID%2053.JPG,2-4,"Portloko District, Northern Region",APC
Helen Kuyembeh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20HELLEN%20KUYEMBEH%20CONST%20075%20BO.JPG,2-4,"Bo District, Southern Region",SLPP
Ibrahim Kamara,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20IBRAHIM%20KAMARA%20CONST%20105%20WESTERN%20AREA%20URBAN%20ID%20105.JPG,2-4,"Western Urban, Western Rural",APC
Ibrahim Matin Bangura,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20IBRAHIM%20MATIN%20BANGURA%20CONST%20031%20BAMBALI.JPG,2-4,"Bombali District, Northern Region",APC
Ibrahim Nox Sankoh,http://www.parliament.gov.sl/dnn5/Portals/0/2014%20DOCUMENT/MPS%20PICTURES/HON%20IBRAHIM%20NOX%20SANKOH%20CONST%20097%20WESTERN%20URBAN.JPG,2-4,"Western Urban, WESTERN AREA",APC
