id,position,label,description,start_date,end_date,constituency,replaces,replaced_by,election,term,party
Q17564390,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q1828054,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q18328462,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q18815659,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q18815848,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q19940257,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q19940527,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q19941078,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q20995,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q21001,Q14850694,Member of National Assembly of South Korea,"",2012-05-30,2016-05-29,,Chang Je-won,Chang Je-won,"South Korean legislative election, 2012",19th Legislative Assembly,
Q21001,Q6296418,President of South Korea,Head of state and of government of the Republic of Korea,2017-05-10,,,Park Geun-hye,,,,
Q21058754,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q21060120,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q21060452,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q21575768,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q22972717,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q22973130,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q22974289,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q22974407,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q22974711,Q14850694,Member of National Assembly of South Korea,"",2017-06,,,,,,20th Legislative Assembly,
Q23894231,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000485,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000498,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000510,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000511,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000515,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000515,Q50559384,Jeju councilor,"",2014-07-01,,,,,"South Korean local elections, 2014",10th Councilor in Jeju,
Q24000516,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000517,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000521,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000528,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000530,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000531,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000550,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000551,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000552,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000553,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
Q24000554,Q14850694,Member of National Assembly of South Korea,"","",,,,,,,
