id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
dc58ea28-f81b-4874-bfbf-c757e2846f62,Hicham SAANANE,Saanan Hicham,,,,Parti de l'Istiqlal,PI,area/safi,SAFI,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture-296-1460370673_0.jpg?itok=2YpsLg-Y,
e86d1dc9-d564-439a-84ea-ca39ab792708,Hmad AIT BAHA,Ait Baha Hmad,,,,Rassemblement National des Indépendants,RNI,area/zagora,ZAGORA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_278.jpg?itok=8cq9a86G,
75a75482-4974-424e-8fd7-9f62a0a4fb5c,Ibrahim Mouhi,Mouhi Ibrahim,,,,Parti Authenticité et Modernité,PAM,area/azilal_-_demnate,AZILAL - DEMNATE,House of Representatives,10,,,,
7f5ac3a3-5184-4527-9ad9-a866b67b1c4b,Ibtissam Azzaoui,Azzaoui Ibtissam,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,
4f0b3265-05b1-4020-bafd-9c7bbd0e62d6,Ibtissam Meras,Meras Ibtissam,,,,Union Socialiste des Forces Populaires,USFP,area/national,National,House of Representatives,10,,,,female
048f7007-8cf6-47a1-8db2-30ae84bf4115,Ichrak El Bouyesfi,El Bouyesfi Ichrak,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,female
bb194005-8dd1-4248-a3f5-4cd0d491e6a6,Idar Anjar,Anjar Idar,,,,Rassemblement National des Indépendants,RNI,area/al_haouz,AL HAOUZ,House of Representatives,10,,,,
c707a38e-c1e1-48d9-a896-3dafc4be91ee,Imane Ben Rabiaa,Ben Rabiaa Imane,,,,Parti de l'Istiqlal,PI,area/national,National,House of Representatives,10,,,,female
ee6e4fc1-d3b7-41ac-b0e5-5f0e727ffbbc,Imane Yaacoubi,Yaacoubi Imane,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,
b549fd7b-2816-41e9-b63f-168ed05d30ff,Ismail Bekkali,Bekkali Ismail,,,,Parti de l'Istiqlal,PI,area/chefchaouen,CHEFCHAOUEN,House of Representatives,10,,,,
9b05c40f-c371-4937-9ca4-cdf3b542af01,Ismail Choukri,Choukri Ismail,,,,Parti de la Justice et du Développement,PJD,area/agadir_-_ida-_outanane,AGADIR - IDA- OUTANANE,House of Representatives,10,,,,
5251607a-f79d-405c-9946-13e1f34ee87b,Ismail Lemmaoui,Lemmaoui Ismail,,,,Parti Authenticité et Modernité,PAM,area/ouarzazate,OUARZAZATE,House of Representatives,10,,,,
6094a0c5-d04c-4856-b630-175de6eb41fa,Jamaa Moatassim,Moatassim Jamaa,,,,Parti de la Justice et du Développement,PJD,area/sale_-_medina,SALE - MEDINA,House of Representatives,10,,,,
2064498a-f309-442d-8f19-8be1064edfa5,Jamal Benchekroun Krimi,Benchekroun Krimi Jamal,,,,Parti du Progrès et du Socialisme,PPS,area/national,National,House of Representatives,10,,,,
6f91a790-dbd4-409a-9145-99ebb49c0d46,Jamal MESSAOUDI,Messaoudi Jamal,,,,Parti de la Justice et du Développement,PJD,area/taza,TAZA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_225.jpg?itok=sj1m4U8L,
8a779cef-f74d-4cdc-8d22-1401ebdeee26,Jamila AFIF,Afif Jamila,,,,Parti Authenticité et Modernité,PAM,area/gueliz_-_annakhil,GUELIZ - ANNAKHIL,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_378.jpg?itok=0Se8kz5q,
4f7c91b4-f5a3-4f93-bd7c-b674dab84cff,Jaouad Daouahi,Daouahi Jaouad,,,,Parti Authenticité et Modernité,PAM,area/moulay_yacoub,MOULAY YACOUB,House of Representatives,10,,,,
47341f99-faa0-42e8-85a4-c437a166b262,Jaouad GHRIB,Gharib Jaouad,,,,Rassemblement National des Indépendants,RNI,area/el_gharb,El GHARB,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_194.jpg?itok=IVvbqK3n,
6af3f366-edce-4c1a-a166-8f7030548c2d,Jaouad Iraki,Iraki Jaouad,,,,Parti de la Justice et du Développement,PJD,area/al_fida_-_mers_sultan,AL FIDA - MERS SULTAN,House of Representatives,10,,,,
e3cb6181-acf7-443b-a8b2-095eec7ff352,Jaouad Naciri,Naciri Jaouad,,,,Parti Authenticité et Modernité,PAM,area/zagora,ZAGORA,House of Representatives,10,,,,
03cb9df3-f65d-4c79-857d-312a937d91cd,Kamal El Omari,El Omari Kamal,,,,Rassemblement National des Indépendants,RNI,area/national,National,House of Representatives,10,,,,
ba7a1680-49e4-498f-b5d9-4a6134ae4404,Kamal Laafou,Laafou Kamal,,,,Mouvement Populaire,MP,area/national,National,House of Representatives,10,,,,
935b0d63-1188-41bd-be64-5ee97f4e657c,Karim Chaoui,Chaoui Karim,,,,Parti de l'Union Constitutionnelle,UC,area/national,National,House of Representatives,10,,,,
d5129c56-8a6a-459b-9110-1c3324cdf5e0,Khadija Chami,Chami Khadija,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,female
e308ebfe-f790-4bfa-bf74-2064265aa9ce,Khadija Redouani,Redouani Khadija,,,,Parti de l'Istiqlal,PI,area/national,National,House of Representatives,10,,,,female
