id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1444222,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444251,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1444251,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444261,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444314,Q18557729,member of the Volkskammer,"","",,,,,,,,
Q1444314,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444323,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444668,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q1444668,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1444668,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1444740,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1445764,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1445786,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1445786,Q514725,Landrat,public official,"",,,,,,,,
Q1445797,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1445821,Q1939555,member of the German Bundestag,deputy of the German parliament,2005-10-18,,,2009-10-27,,,,,
Q1445821,Q1939555,member of the German Bundestag,deputy of the German parliament,2009-10-27,,,2013-10-22,,,,,
Q1445821,Q1939555,member of the German Bundestag,deputy of the German parliament,2013-10-22,,,,,Cloppenburg – Vechta,,,
Q1445835,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1445835,Q27169,member of the European Parliament,person who has been elected to the European Parliament,"",,,,,,,,
Q1446713,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1446945,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1447160,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1447160,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1447374,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1447390,Q19360355,Member of the Hamburg Parliament,"","",,,,,,,,
Q1447390,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1447470,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1447470,Q23899810,Ambassador of Germany to Iran,"",1964,,Georg von Lilienfeld,1968,,,,,
Q1447478,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448033,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448196,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1448196,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448200,Q17586301,Member of the Landtag of Bavaria,"","",,,,,,,,
Q1448200,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448342,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1448342,Q514725,Landrat,public official,"",,,,,,,,
