id,name,photo,source,date_of_birth,party,cons,area,term
4569,محمد على ابراهيم عبده,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4569,http://www.parliament.gov.eg/members/,1943-09-02,الوفد الجديد,الغربية,الغربية,2015
4570,خالدعزت محمود مصباح,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4570,http://www.parliament.gov.eg/members/,1978-10-30,مستقبل وطن,الغربية,الغربية,2015
4571,فؤاد ابراهيم عبد العزيز حسب الله,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4571,http://www.parliament.gov.eg/members/,1962-09-21,مستقل,الغربية,الغربية,2015
4572,محمد ابراهيم محمد الشورى,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4572,http://www.parliament.gov.eg/members/,1956-06-01,مستقل,الغربية,الغربية,2015
4573,محمد خليفه محمد امين خليفة,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4573,http://www.parliament.gov.eg/members/,1980-01-17,الوفد الجديد,الغربية,الغربية,2015
4574,محمد احمد احمد زايد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4574,http://www.parliament.gov.eg/members/,1965-06-23,مستقبل وطن,الغربية,الغربية,2015
4575,محمود السعيد محمود ابو شحاته,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4575,http://www.parliament.gov.eg/members/,1955-11-03,مستقبل وطن,الغربية,الغربية,2015
4576,نعمت رشاد محمد احمد قمر,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4576,http://www.parliament.gov.eg/members/,1953-04-29,حزب السلام الديمقراطى,الغربية,الغربية,2015
4577,رفعت محمد جودة يوسف داغر,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4577,http://www.parliament.gov.eg/members/,1954-06-10,مستقل,الغربية,الغربية,2015
4578,مصطفى راغب على ابو زيد,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4578,http://www.parliament.gov.eg/members/,1956-03-10,الحركة الوطنية المصرية,الغربية,الغربية,2015
4579,فتحى محمد ندا مصطفى ندا,http://www.parliament.gov.eg/members/ImageVB.aspx?ImageID=4579,http://www.parliament.gov.eg/members/,1963-08-12,مستقل,الغربية,الغربية,2015
