id,name,area,image,term,source,last_seen
sporish-yuriy-grigorjevich,СПОРИШ Юрий Григорьевич,2,http://vspmr.org/im.xp/049050056049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/sporish-yuriy-grigorjevich/,
tidva-vladislav-sergeevich,ТИДВА Владислав Сергеевич,2,http://vspmr.org/im.xp/049055057048049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/tidva-vladislav-sergeevich/,2016-12-15
tobuh-vyacheslav-vasiljevich,ТОБУХ Вячеслав Васильевич,42,http://vspmr.org/im.xp/049050057049124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/tobuh-vyacheslav-vasiljevich/,
treskova-klavdiya-mihaylovna,ТРЕСКОВА Клавдия Михайловна,18,http://vspmr.org/im.xp/049050057052124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/treskova-klavdiya-mihaylovna/,
turanskaya-tatjyana-mihaylovna,ТУРАНСКАЯ Татьяна Михайловна,22,http://vspmr.org/im.xp/049054052053053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/turanskaya-tatjyana-mihaylovna/,2016-12-15
tyuryaeva-ilona-petrovna,ТЮРЯЕВА Илона Петровна,36,http://vspmr.org/im.xp/049050057055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/tyuryaeva-ilona-petrovna/,
tyuryaeva-ilona-petrovna,ТЮРЯЕВА Илона Петровна,36,http://vspmr.org/im.xp/049054051057048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/tyuryaeva-ilona-petrovna/,2016-12-15
vasilatiy-oleg-valerjevich,ВАСИЛАТИЙ Олег Валерьевич,27,http://vspmr.org/im.xp/054057050124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/vasilatiy-oleg-valerjevich/,
vasilatiy-oleg-valerjevich,ВАСИЛАТИЙ Олег Валерьевич,27,http://vspmr.org/im.xp/054057050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/vasilatiy-oleg-valerjevich/,2016-12-15
vasiljev-iljya-ivanovich,ВАСИЛЬЕВ Илья Иванович,38,http://vspmr.org/im.xp/049054050053057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/vasiljev-iljya-ivanovich/,2016-12-15
vlasov-vasiliy-ivanovich,ВЛАСОВ Василий Иванович,17,http://vspmr.org/im.xp/049054056053052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/vlasov-vasiliy-ivanovich/,2016-12-15
yarich-igorj-teodorovich,ЯРЫЧ Игорь Теодорович,30,http://vspmr.org/im.xp/049051055055124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/yarich-igorj-teodorovich/,
yarich-igorj-teodorovich,ЯРЫЧ Игорь Теодорович,30,http://vspmr.org/im.xp/049051055055124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/yarich-igorj-teodorovich/,2016-12-15
zinovenko-vitaliy-nikolaevich,ЗИНОВЕНКО Виталий Николаевич,6,http://vspmr.org/im.xp/049050050048124049048048124049051051.jpg,5,http://vspmr.org/structure/deputies/zinovenko-vitaliy-nikolaevich/,
