id,position,label,description,start_date,term,end_date,election,constituency,replaces,replaced_by
Q4358028,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q4358028,Q27927531,,"",2012-06-13,,,,,,
Q4358028,Q27928363,,"",2009-05-11,,2012-06-12,,,,
Q437046,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q44147245,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-02-23,26th South African Parliament,2017-05-23,,,,
Q46996204,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q474285,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q474285,Q6797727,Mayor of Johannesburg,"",2000-12-05,,2011-05-26,,,,
Q4752606,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529605,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529614,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529616,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529617,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529618,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",KwaZulu-Natal,,
Q47529620,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529621,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529623,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-06-03,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529625,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2016-02-05,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529626,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529628,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529629,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",North West,,
Q47529630,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529632,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2015-02-24,26th South African Parliament,,"South African general election, 2014",Mpumalanga,,
Q47529633,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-05-04,26th South African Parliament,,,,,
Q47529634,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-05-04,26th South African Parliament,,,,,
Q47529636,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529637,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529638,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529640,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-05-04,26th South African Parliament,,,,,
Q47529643,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529644,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529645,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-05-04,26th South African Parliament,,,,,
Q47529646,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529647,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2017-05-04,26th South African Parliament,,,,,
Q47529648,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-30,26th South African Parliament,,,,,
Q47529649,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529650,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529651,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529652,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529653,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529654,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529655,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529656,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529658,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Eastern Cape,,
Q47529659,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Free State,,
Q47529660,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529662,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,"South African general election, 2014",Gauteng,,
Q47529663,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
Q47529665,Q16744266,member of the National Assembly of South Africa,member of the National Assembly of South Africa,2014-05-21,26th South African Parliament,,,,,
