id,name,start_date,end_date,constituency,constituency_id,party,party_id,term
Q47529815,Malcolm John Figg,2014-05-21,"",Eastern Cape,Q130840,Democratic Alliance,Q761877,26
Q47529816,Lungiswa Veronica James,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529818,Makhotso Magdeline Sotyu,2014-05-21,"",Free State,Q160284,African National Congress,Q83162,26
Q47529819,Gordon Mackay,2014-05-21,"",Gauteng,Q133083,Democratic Alliance,Q761877,26
Q47529820,Thembekile Richard Majola,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529823,Dean William Macpherson,2014-05-21,"",KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529824,Gregory Allen Grootboom,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529825,Vatiswa Bam-Mugwanya,2014-05-21,"",,,African National Congress,Q83162,26
Q47529827,Bomo Edna Edith Molewa,2014-05-21,"",,,African National Congress,Q83162,26
Q47529828,Bhekizizwe Abram Radebe,2014-05-21,"",Free State,Q160284,African National Congress,Q83162,26
Q47529830,Xoliswa Sandra Tom,2014-05-21,"",,,African National Congress,Q83162,26
Q47529832,Sibonakaliso Phillip Mhlongo,2014-05-21,"",Gauteng,Q133083,Economic Freedom Fighters,Q15613585,26
Q47529833,Tshoganetso Mpho Adolphina Tongwane,2014-05-21,"",,,African National Congress,Q83162,26
Q47529835,Mosie Antony Cele,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529836,Nozabelo Ruth Bhengu,2014-05-21,"",,,African National Congress,Q83162,26
Q47529837,Yunus Ismail Carrim,2014-05-21,"",,,African National Congress,Q83162,26
Q47529839,Lydia Sindisiwe Chikunga,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529841,Elsie Mmathulare Coleman,2014-05-21,"",,,African National Congress,Q83162,26
Q47529844,Dorries Eunice Dlakude,2014-05-21,"",Mpumalanga,Q132410,African National Congress,Q83162,26
Q47529845,Anchen Margaretha Dreyer,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529847,Dennis Dumisani Gamede,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529849,Werner Horn,2014-05-21,"",,,Democratic Alliance,Q761877,26
Q47529850,Nthako Sam Matiase,2014-05-21,"",Gauteng,Q133083,Economic Freedom Fighters,Q15613585,26
Q47529852,Geordin Gwyn Hill-Lewis,2014-05-21,"",Western Cape,Q127167,Democratic Alliance,Q761877,26
Q47529853,Mkhuleko Hlengwa,2014-05-21,"",KwaZulu-Natal,Q81725,Inkatha Freedom Party,Q654444,26
Q47529854,Santosh Vinita Kalyan,2014-05-21,"",KwaZulu-Natal,Q81725,Democratic Alliance,Q761877,26
Q47529856,Tandiwe Elizabeth Kenye,2014-05-21,"",Eastern Cape,Q130840,African National Congress,Q83162,26
Q47529857,Lefu Peter Khoarai,2014-05-21,"",Free State,Q160284,African National Congress,Q83162,26
Q47529859,Makoti Sibongile Khawula,2014-05-21,"",KwaZulu-Natal,Q81725,Economic Freedom Fighters,Q15613585,26
Q47529860,Luwellyn Tyrone Landers,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529862,Regina Mina Mpontseng Lesoma,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529863,Mbangiseni David Mahlobo,2014-05-21,"",,,African National Congress,Q83162,26
Q47529865,Celiwe Qhamkile Madlopha,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529867,Dikeledi Phillistus Magadzi,2014-05-21,"",,,African National Congress,Q83162,26
Q47529868,Fikile Zachariah Majola,2014-05-21,"",,,African National Congress,Q83162,26
Q47529870,Sibongile Mchunu,2014-05-21,"",KwaZulu-Natal,Q81725,African National Congress,Q83162,26
Q47529872,Veronica Zanele Msibi,2014-05-21,"",,,National Freedom Party,Q6972795,26
