id,name,sort_name,given_name,family_name,name__ar,party,party_id,party__ar,constituency,province,start_date,end_date,gender,name__en,term
33,Mohamed Youssef,Youssef Mohamed,Mohamed,Youssef,محمد يوسف,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,MOULAY YACOUB,MOULAY YACOUB,2016-10-07,,,Mohamed Youssef,10
330,Mohamed Moubdi,Moubdi Mohamed,Mohamed,Moubdi,محمد مبديع,Mouvement Populaire,MP,حزب الحركة الشعبية,FQUIH BEN SALAH,FQUIH BEN SALAH,2016-10-07,,,Mohamed Moubdi,10
331,Leila Ahkim,Ahkim Leila,Leila,Ahkim,ليلى احكيم,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,female,Leila Ahkim,10
332,Hakima Bel Qsaoui,Bel Qsaoui Hakima,Hakima,Bel Qsaoui,حكيمة بلقساوي,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,female,Hakima Bel Qsaoui,10
333,Fatima Ezzahra Nazih,Nazih Fatima Ezzahra,Fatima Ezzahra,Nazih,فاطمة الزهراء نزيه,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,female,Fatima Ezzahra Nazih,10
334,Loubna Tahiri,Tahiri Loubna,Loubna,Tahiri,لبنى طاهري,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,female,Loubna Tahiri,10
335,Ghita El Hatimi,El Hatimi Ghita,Ghita,El Hatimi,غيثة الحاتمي,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,female,Ghita El Hatimi,10
336,Abdelhakim El Ahmadi,El Ahmadi Abdelhakim,Abdelhakim,El Ahmadi,عبد الحكيم الأحمدي,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,,Abdelhakim El Ahmadi,10
337,Kamal Laafou,Laafou Kamal,Kamal,Laafou,كمال لعفو,Mouvement Populaire,MP,حزب الحركة الشعبية,National,Liste Nationale,2016-10-07,,,Kamal Laafou,10
338,Ali Amniouel,Amniouel Ali,Ali,Amniouel,علي إمنيول,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,M'DIQ-FNIDEQ,M'DIQ-FNIDEQ,2016-10-07,,,Ali Amniouel,10
339,Mohamed Larbi Ahnine,Ahnine Mohamed Larbi,Mohamed Larbi,Ahnine,محمد العربي إحنين,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,TETOUAN,TETOUAN,2016-10-07,,,Mohamed Larbi Ahnine,10
34,Nourdine Qchibel,Qchibel Nourdine,Nourdine,Qchibel,نور الدين قشيبل,Parti de la Justice et du Développement,PJD,حزب العدالة والتنمية,KARIA - GHAFSAI,TAOUNATE,2016-10-07,,,Nourdine Qchibel,10
340,Abdellah Idrissi Bouzidi,Idrissi Bouzidi Abdellah,Abdellah,Idrissi Bouzidi,عبد الله الإدريسي البوزيدي,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,TAOUNATE - TISSA,TAOUNATE,2016-10-07,,,Abdellah Idrissi Bouzidi,10
341,Ahmed Elghazoui,Elghazoui Ahmed,Ahmed,Elghazoui,أحمد الغزوي,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,SIDI KACEM,SIDI KACEM,2016-10-07,,,Ahmed Elghazoui,10
342,EL Habib Houssaini,Houssaini EL Habib,EL Habib,Houssaini,الحبيب حسيني,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,KHEMISSET - OULMES,KHEMISSET,2016-10-07,,,EL Habib Houssaini,10
343,Said Nmili,Nmili Said,Said,Nmili,سعيد إنميلي,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,SETTAT,SETTAT,2016-10-07,,,Said Nmili,10
344,Said Idbaali,Idbaali Said,Said,Idbaali,سعيد إدبعلي,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,ESSAOUIRA,ESSAOUIRA,2016-10-07,,,Said Idbaali,10
345,Aicha Leblaq,Leblaq Aicha,Aicha,Leblaq,عائشة البلق,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,National,Liste Nationale,2016-10-07,,female,Aicha Leblaq,10
346,Touria Skalli,Skalli Touria,Touria,Skalli,ثرية الصقلي,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,National,Liste Nationale,2016-10-07,,female,Touria Skalli,10
347,Souad Zaydi,Zaydi Souad,Souad,Zaydi,سعاد الزايدي,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,National,Liste Nationale,2016-10-07,,female,Souad Zaydi,10
348,Jamal Benchekroun Krimi,Benchekroun Krimi Jamal,Jamal,Benchekroun Krimi,جمال كريمي بنشقرون,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,National,Liste Nationale,2016-10-07,,,Jamal Benchekroun Krimi,10
349,Fatima Ezzahra Bersat,Bersat Fatima Ezzahra,Fatima Ezzahra,Bersat,فاطمة الزهراء برصات,Parti du Progrès et du Socialisme,PPS,حزب التقدم والاشتراكية,National,Liste Nationale,2016-10-07,,,Fatima Ezzahra Bersat,10
